form;communication;semantic_category;speaker_generation;speaker_gender;relationship;speech_act;reaction;effect_voc
coño;AM_GEN4_M_01a;nom_taboo;GEN4;M;intimates;neutral;neutral;banter
coño;AM_GEN4_M_01a;nom_taboo;GEN4;M;intimates;neutral;neutral;banter
hermano;AM_GEN4_M_01a;nom_familiarizer;GEN4;M;intimates;neutral;na;neutral
PropN;AM_GEN4_M_01a;PropN;GEN4;M;intimates;neutral;neutral;neutral
PropN;AM_GEN4_M_01a;PropN;GEN4;M;intimates;neutral;neutral;banter
PropN;AM_GEN4_M_01a;PropN;GEN4;M;intimates;neutral;neutral;neutral
hombre;AM_GEN4_M_01a;nom_familiarizer;GEN4;M;intimates;irony;neutral;banter
coño;AM_GEN4_M_01a;nom_taboo;GEN4;M;intimates;neutral;negative;impolite
hombre;AM_GEN4_M_01a;nom_familiarizer;GEN4;M;intimates;neutral;negative;impolite
mi_hermano;AM_GEN4_M_01a;nom_familiarizer;GEN4;M;intimates;neutral;neutral;attenuating
coño;AM_GEN4_M_01a;nom_taboo;GEN4;M;intimates;impolite;negative;impolite
hombre;AM_GEN4_M_01a;nom_familiarizer;GEN4;M;intimates;neutral;neutral;neutral
hombre;AM_GEN4_M_01a;nom_familiarizer;GEN4;M;intimates;neutral;neutral;attenuating
PropN;AM_GEN4_M_01a;PropN;GEN4;M;intimates;neutral;neutral;neutral
hombre;AM_GEN4_M_01a;nom_familiarizer;GEN4;M;intimates;neutral;neutral;neutral
señores;AM_GEN4_M_01a;title;GEN4;M;intimates;neutral;neutral;neutral
PropN;AM_GEN4_M_01a;PropN;GEN4;M;intimates;polite;neutral;intensifying
señores;AM_GEN4_M_01a;title;GEN4;M;intimates;neutral;neutral;neutral
tú;AM_GEN4_M_01a;pronoun;GEN4;M;intimates;neutral;neutral;neutral
macho;AM_GEN4_M_01a;nom_familiarizer;GEN4;M;intimates;neutral;positive;neutral
macho;AM_GEN4_M_01a;nom_familiarizer;GEN4;M;intimates;antipolite;positive;banter
hijo;AM_GEN4_M_01a;nom_endearment;GEN4;M;intimates;impolite;negative;impolite
