ID,Participant,Accent,Comprehensibility,Accentedness,Familiarity
1,7,ChinEng,3,7,Never
2,7,GAE,1,1,Very Often
3,7,GBE,5,6,Often
4,7,IndEng,3,8,Rarely
5,7,NBE,4,4,Rarely
6,7,NigEng,2,4,Never
7,7,SAE,2,7,Rarely
8,7,SpanEng,2,6,Never
9,10,ChinEng,5,8,Never
10,10,GAE,1,1,Very Often
11,10,GBE,3,4,Often
12,10,IndEng,7,7,Rarely
13,10,NBE,2,3,Rarely
14,10,NigEng,6,7,Never
15,10,SAE,3,6,Rarely
16,10,SpanEng,4,5,Rarely
17,13,ChinEng,3,5,Never
18,13,GAE,1,1,Very Often
19,13,GBE,1,4,Often
20,13,IndEng,2,6,Rarely
21,13,NBE,1,5,Sometimes
22,13,NigEng,2,7,Never
23,13,SAE,1,6,Sometimes
24,13,SpanEng,2,5,Often
25,15,ChinEng,2,6,Never
26,15,GAE,1,1,Very Often
27,15,GBE,1,3,Often
28,15,IndEng,2,5,Never
29,15,NBE,1,7,Rarely
30,15,NigEng,5,5,Never
31,15,SAE,2,8,Sometimes
32,15,SpanEng,3,5,Never
33,18,ChinEng,3,3,Never
34,18,GAE,1,2,Very Often
35,18,GBE,2,3,Very Often
36,18,IndEng,3,6,Never
37,18,NBE,1,2,Often
38,18,NigEng,4,5,Never
39,18,SAE,3,4,Often
40,18,SpanEng,3,5,Never
41,21,ChinEng,1,3,Often
42,21,GAE,1,1,Very Often
43,21,GBE,2,5,Very Often
44,21,IndEng,2,4,Sometimes
45,21,NBE,1,1,Often
46,21,NigEng,1,3,Rarely
47,21,SAE,1,3,Sometimes
48,21,SpanEng,1,4,Rarely
49,22,ChinEng,5,8,Never
50,22,GAE,1,4,Very Often
51,22,GBE,2,1,Often
52,22,IndEng,3,7,Rarely
53,22,NBE,3,6,Sometimes
54,22,NigEng,4,8,Rarely
55,22,SAE,2,7,Often
56,22,SpanEng,4,8,Sometimes
57,31,ChinEng,4,7,Never
58,31,GAE,1,1,Very Often
59,31,GBE,1,2,Very Often
60,31,IndEng,4,8,Rarely
61,31,NBE,2,4,Sometimes
62,31,NigEng,2,5,Never
63,31,SAE,1,3,Often
64,31,SpanEng,4,6,Sometimes
65,33,ChinEng,7,7,Never
66,33,GAE,2,6,Often
67,33,GBE,3,6,Sometimes
68,33,IndEng,6,7,Never
69,33,NBE,6,7,Sometimes
70,33,NigEng,7,8,Never
71,33,SAE,8,7,Sometimes
72,33,SpanEng,6,8,Never
73,34,ChinEng,3,7,Never
74,34,GAE,1,1,Very Often
75,34,GBE,2,3,Very Often
76,34,IndEng,2,5,Rarely
77,34,NBE,2,8,Very Often
78,34,NigEng,3,8,Rarely
79,34,SAE,1,5,Very Often
80,34,SpanEng,3,6,Never
81,35,ChinEng,5,4,Never
82,35,GAE,1,1,Very Often
83,35,GBE,2,2,Very Often
84,35,IndEng,3,6,Rarely
85,35,NBE,3,3,Sometimes
86,35,NigEng,5,5,Never
87,35,SAE,2,4,Sometimes
88,35,SpanEng,3,5,Never
89,36,ChinEng,2,9,Rarely
90,36,GAE,1,4,Very Often
91,36,GBE,2,8,Very Often
92,36,IndEng,2,8,Sometimes
93,36,NBE,1,8,Never
94,36,NigEng,2,9,Never
95,36,SAE,1,8,Sometimes
96,36,SpanEng,2,9,Sometimes
97,38,ChinEng,3,7,Never
98,38,GAE,1,2,Very Often
99,38,GBE,2,4,Sometimes
100,38,IndEng,5,7,Rarely
101,38,NBE,2,3,Rarely
102,38,NigEng,3,5,Never
103,38,SAE,2,3,Sometimes
104,38,SpanEng,3,5,Rarely
105,39,ChinEng,3,7,Never
106,39,GAE,1,3,Very Often
107,39,GBE,1,2,Very Often
108,39,IndEng,3,9,Rarely
109,39,NBE,1,3,Sometimes
110,39,NigEng,4,8,Never
111,39,SAE,1,9,Rarely
112,39,SpanEng,3,9,Never
113,40,ChinEng,2,5,Rarely
114,40,GAE,1,3,Often
115,40,GBE,1,6,Often
116,40,IndEng,3,6,Rarely
117,40,NBE,2,5,Sometimes
118,40,NigEng,2,7,Never
119,40,SAE,1,8,Rarely
120,40,SpanEng,3,7,Rarely
121,44,ChinEng,3,9,Rarely
122,44,GAE,1,1,Often
123,44,GBE,2,9,Sometimes
124,44,IndEng,2,9,Rarely
125,44,NBE,3,9,Rarely
126,44,NigEng,4,9,Rarely
127,44,SAE,2,9,Sometimes
128,44,SpanEng,3,9,Rarely
129,46,ChinEng,4,7,Never
130,46,GAE,1,2,Very Often
131,46,GBE,3,5,Often
132,46,IndEng,7,8,Never
133,46,NBE,2,4,Sometimes
134,46,NigEng,6,7,Never
135,46,SAE,5,7,Rarely
136,46,SpanEng,6,8,Never
137,48,ChinEng,1,3,Rarely
138,48,GAE,1,1,Very Often
139,48,GBE,1,1,Often
140,48,IndEng,4,6,Rarely
141,48,NBE,1,1,Rarely
142,48,NigEng,2,8,Never
143,48,SAE,1,3,Sometimes
144,48,SpanEng,4,5,Rarely
145,50,ChinEng,1,6,Never
146,50,GAE,1,2,Very Often
147,50,GBE,1,3,Very Often
148,50,IndEng,3,9,Never
149,50,NBE,2,9,Sometimes
150,50,NigEng,2,8,Never
